country name,year,r&d_expenditure,score
Brazil,2005,1.00246000289917,25.078439355319503
Brazil,2006,0.988070011138916,24.207745505810056
Brazil,2007,1.08138000965118,24.707059533125186
Brazil,2008,1.12904000282288,26.31531936469404
Brazil,2009,1.11865997314453,27.459535076897986
Brazil,2010,1.15991997718811,29.35044118517392
Brazil,2011,1.13966000080109,28.73330861538242
Brazil,2012,1.12683999538422,27.007449685480335
Brazil,2013,1.19567000865936,28.362379657838588
Brazil,2014,1.26970994472504,29.973044170096298
Brazil,2015,1.37092995643616,31.655864815958186
Brazil,2016,1.28637003898621,27.83756388250872
Brazil,2017,1.11749994754791,23.35470448180969
Brazil,2018,1.16769003868103,23.60164288483336
Brazil,2019,1.21096003055573,20.276588152155238
Brazil,2020,1.14525997638702,19.19173403077464
Brazil,2021,1.18,19.84131081437922
Brazil,2022,1.2,19.465245411873234
Brazil,2023,1.22,19.79946722368389
Brazil,2024,1.23,19.966578129589216
Canada,2005,1.97126996517181,49.933166904561745
Canada,2006,1.94304001331329,48.08026507557184
Canada,2007,1.90357995033264,43.94084075013727
Canada,2008,1.85578000545502,43.445273960697314
Canada,2009,1.9174200296402,47.2587590498517
Canada,2010,1.82503998279572,46.732609854636706
Canada,2011,1.78714001178741,45.23945527933781
Canada,2012,1.77304005622864,42.97660949179362
Canada,2013,1.70624005794525,40.88365612758503
Canada,2014,1.7148300409317,40.59111411567349
Canada,2015,1.69359004497528,39.188597692824516
Canada,2016,1.72903001308441,37.51196499822812
Canada,2017,1.68701994419098,35.39450701335297
Canada,2018,1.73720002174377,35.21405825277847
Canada,2019,1.75577998161316,29.602646766558255
Canada,2020,1.93413996696472,32.896417784595265
Canada,2021,1.86431002616882,31.75881096357898
Canada,2022,1.71166002750397,28.015642483046577
Canada,2023,1.7,27.82079070713963
Canada,2024,1.68,27.486568895328972
Germany,2005,2.44193005561829,62.0079068142417
Germany,2006,2.47232007980347,61.3113076385868
Germany,2007,2.4604799747467,56.96844230949877
Germany,2008,2.61512994766235,61.34387591652421
Germany,2009,2.74266004562378,67.71435366181309
Germany,2010,2.73024010658264,70.38900433777809
Germany,2011,2.80555009841919,71.20168726915415
Germany,2012,2.88165998458862,70.3732779125762
Germany,2013,2.8359899520874,68.5897677297165
Germany,2014,2.87784004211426,68.33401236987609
Germany,2015,2.9337899684906,68.14196090563571
Germany,2016,2.94039011001587,63.9864243101782
Germany,2017,3.04710006713867,64.14695855831587
Germany,2018,3.11011004447937,63.20795110972672
Germany,2019,3.16701006889343,53.7596448479254
Germany,2020,3.13136005401611,53.69492056414429
Germany,2021,3.12881994247437,53.78069657090491
Germany,2022,3.13235998153687,51.75708811685615
Germany,2023,3.15,52.05187206341218
Germany,2024,3.18,52.55320478112817
United Kingdom,2005,1.55004000663757,39.12655233343615
United Kingdom,2006,1.57625997066498,38.911428645125476
