STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,OBS_STATUS_2,Observation status 2,OBS_STATUS_3,Observation status 3,AUX_OBS_STATUS,Aux observation status,CONF_STATUS,Confidentiality status,UNIT_MULT,Unit multiplier,BASE_PER,Base year,DECIMALS,Decimals
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2008,,2.464140144,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2007,,2.532935105,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2006,,2.852656806,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2005,,2.679692284,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2023,,2.651055173,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,2.594223737,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,2.775799644,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,2.486401793,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,2.340175747,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2018,,2.000806781,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ISL,Iceland,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2017,,2.08365444,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2014,,1.343696319,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2013,,1.384489132,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2012,,1.257584885,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2011,,1.181161367,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2010,,1.131016951,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2009,,1.130274144,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2008,,0.978174095,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2007,,0.954878882,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2006,,0.978347582,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2005,,0.920432622,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2023,,1.386324126,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,1.390223539,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,1.633373925,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,1.580669765,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,1.464730987,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2018,,1.50195927,,B,Time series break,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2017,,1.314975935,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,HUN,Hungary,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2016,,1.176451829,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2013,,0.622336145,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2012,,0.638878111,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2011,,0.569338199,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2010,,0.564050123,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2009,,0.58705209,,B,Time series break,P,Provisional value,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2008,,0.470544809,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2007,,0.46006591,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2006,,0.452155425,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2005,,0.42074496,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2023,,0.601114137,,P,Provisional value,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.549528267,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.522888848,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,0.5415428,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2019,,0.478131767,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2018,,0.494350919,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2017,,0.556314999,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2016,,0.530192017,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,ARG,Argentina,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2015,,0.618540979,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2014,,0.790073995,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2013,,0.634237435,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2012,,0.600386037,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2011,,0.529502659,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2010,,0.56299308,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2009,,0.493376294,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2008,,0.447313933,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2007,,0.430032604,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2006,,0.442161752,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2005,,0.442692936,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2023,,0.792242701,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2022,,0.751743141,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2021,,0.769333005,,,,,,,,,,,,0,Units,,,2,Two
DATAFLOW,OECD.STI.STP:DSD_MSTI@DF_MSTI(1.3),Main Science and Technology Indicators (MSTI database),I,BGR,Bulgaria,A,Annual,G,Gross Domestic Expenditure on R&D (GERD),PT_B1GQ,Percentage of GDP,_Z,Not applicable,_Z,Not applicable,2020,,0.845489651,,,,,,,,,,,,0,Units,,,2,Two
