Country Name,Year,R&D_Expenditure
Brazil,2005,1.00246000289917
Brazil,2006,0.988070011138916
Brazil,2007,1.08138000965118
Brazil,2008,1.12904000282288
Brazil,2009,1.11865997314453
Brazil,2010,1.15991997718811
Brazil,2011,1.13966000080109
Brazil,2012,1.12683999538422
Brazil,2013,1.19567000865936
Brazil,2014,1.26970994472504
Brazil,2015,1.37092995643616
Brazil,2016,1.28637003898621
Brazil,2017,1.11749994754791
Brazil,2018,1.16769003868103
Brazil,2019,1.21096003055573
Brazil,2020,1.14525997638702
Brazil,2021,1.18
Brazil,2022,1.20
Brazil,2023,1.22
Brazil,2024,1.23
Canada,2005,1.97126996517181
Canada,2006,1.94304001331329
Canada,2007,1.90357995033264
Canada,2008,1.85578000545502
Canada,2009,1.9174200296402
Canada,2010,1.82503998279572
Canada,2011,1.78714001178741
Canada,2012,1.77304005622864
Canada,2013,1.70624005794525
Canada,2014,1.7148300409317
Canada,2015,1.69359004497528
Canada,2016,1.72903001308441
Canada,2017,1.68701994419098
Canada,2018,1.73720002174377
Canada,2019,1.75577998161316
Canada,2020,1.93413996696472
Canada,2021,1.86431002616882
Canada,2022,1.71166002750397
Canada,2023,1.70
Canada,2024,1.68
Germany,2005,2.44193005561829
Germany,2006,2.47232007980347
Germany,2007,2.4604799747467
Germany,2008,2.61512994766235
Germany,2009,2.74266004562378
Germany,2010,2.73024010658264
Germany,2011,2.80555009841919
Germany,2012,2.88165998458862
Germany,2013,2.8359899520874
Germany,2014,2.87784004211426
Germany,2015,2.9337899684906
Germany,2016,2.94039011001587
Germany,2017,3.04710006713867
Germany,2018,3.11011004447937
Germany,2019,3.16701006889343
Germany,2020,3.13136005401611
Germany,2021,3.12881994247437
Germany,2022,3.13235998153687
Germany,2023,3.15
Germany,2024,3.18
United Kingdom,2005,1.55004000663757
United Kingdom,2006,1.57625997066498
United Kingdom,2007,1.61829996109009
United Kingdom,2008,1.6090099811554
United Kingdom,2009,1.66990995407104
United Kingdom,2010,1.63885998725891
United Kingdom,2011,1.64681005477905
United Kingdom,2012,1.57587003707886
United Kingdom,2013,1.62095999717712
United Kingdom,2014,2.26487994194031
United Kingdom,2015,2.27566003799438
