Date,concert,cinema,museum,book,theater,Country
2025-03-01,18,45,23,40,16,Germany
2025-04-01,17,45,24,40,14,Germany
2025-05-01,20,37,21,39,14,Germany
2004-01-01,28,42,64,36,62,Japan
2004-02-01,27,47,63,33,61,Japan
2004-03-01,28,46,67,34,60,Japan
2004-04-01,28,45,68,36,60,Japan
2004-05-01,30,53,73,35,63,Japan
2004-06-01,29,46,57,36,54,Japan
2004-07-01,31,57,68,29,56,Japan
2004-08-01,31,50,73,28,69,Japan
2004-09-01,29,47,61,32,62,Japan
2004-10-01,30,32,61,31,57,Japan
2004-11-01,29,42,58,30,58,Japan
2004-12-01,31,54,46,29,61,Japan
2005-01-01,28,43,53,32,59,Japan
2005-02-01,23,36,55,29,60,Japan
2005-03-01,26,36,56,27,58,Japan
2005-04-01,30,34,56,30,58,Japan
2005-05-01,30,39,61,30,61,Japan
2005-06-01,30,42,51,29,61,Japan
2005-07-01,33,54,56,27,62,Japan
2005-08-01,36,55,67,26,63,Japan
2005-09-01,32,49,55,27,61,Japan
2005-10-01,31,36,61,27,59,Japan
2005-11-01,31,37,57,26,54,Japan
2005-12-01,30,42,46,26,55,Japan
2006-01-01,27,40,53,26,59,Japan
2006-02-01,26,36,53,27,58,Japan
2006-03-01,25,40,53,24,53,Japan
2006-04-01,29,33,62,27,53,Japan
2006-05-01,26,46,73,27,53,Japan
2006-06-01,28,43,46,26,55,Japan
2006-07-01,29,50,58,23,52,Japan
2006-08-01,33,48,73,22,56,Japan
2006-09-01,33,34,56,23,59,Japan
2006-10-01,30,29,60,25,58,Japan
2006-11-01,29,33,56,25,57,Japan
2006-12-01,30,35,43,25,61,Japan
2007-01-01,27,36,53,28,65,Japan
2007-02-01,27,36,51,25,62,Japan
2007-03-01,28,36,55,24,63,Japan
2007-04-01,35,36,62,26,61,Japan
2007-05-01,29,39,64,25,61,Japan
2007-06-01,26,39,53,25,59,Japan
2007-07-01,30,43,60,27,65,Japan
2007-08-01,30,51,73,26,69,Japan
2007-09-01,31,44,64,23,81,Japan
2007-10-01,30,32,90,22,62,Japan
2007-11-01,27,31,68,26,57,Japan
2007-12-01,31,30,52,23,60,Japan
2008-01-01,28,28,64,24,64,Japan
2008-02-01,26,30,56,23,60,Japan
2008-03-01,25,30,59,24,62,Japan
2008-04-01,29,29,65,25,67,Japan
2008-05-01,30,32,71,23,64,Japan
2008-06-01,29,30,57,24,60,Japan
2008-07-01,27,41,64,22,60,Japan
2008-08-01,31,56,75,22,64,Japan
2008-09-01,38,43,59,22,62,Japan
2008-10-01,31,32,62,22,61,Japan
2008-11-01,28,28,57,21,57,Japan
2008-12-01,32,28,45,20,62,Japan
2009-01-01,27,27,50,21,61,Japan
2009-02-01,23,32,50,22,57,Japan
2009-03-01,27,32,53,22,59,Japan
2009-04-01,28,29,57,22,60,Japan
2009-05-01,35,36,69,21,68,Japan
2009-06-01,34,39,53,20,79,Japan
2009-07-01,35,47,60,19,100,Japan
2009-08-01,35,44,70,19,72,Japan
2009-09-01,36,30,59,19,63,Japan
2009-10-01,33,26,52,21,64,Japan
2009-11-01,36,39,48,19,72,Japan
2009-12-01,35,51,41,21,72,Japan
2010-01-01,32,48,47,24,79,Japan
2010-02-01,26,43,47,22,71,Japan
2010-03-01,27,38,50,24,69,Japan
2010-04-01,30,40,53,28,69,Japan
2010-05-01,33,32,56,33,91,Japan
2010-06-01,32,30,48,34,71,Japan
2010-07-01,37,48,55,32,69,Japan
2010-08-01,46,48,61,29,68,Japan
2010-09-01,41,43,49,30,70,Japan
2010-10-01,34,33,48,30,68,Japan
2010-11-01,37,27,44,34,59,Japan
2010-12-01,33,32,38,42,65,Japan
2011-01-01,34,35,50,44,75,Japan
2011-02-01,31,36,48,38,75,Japan
2011-03-01,27,36,38,29,65,Japan
2011-04-01,32,35,47,32,67,Japan
2011-05-01,40,47,56,33,67,Japan
2011-06-01,40,43,46,31,68,Japan
2011-07-01,43,49,57,30,69,Japan
2011-08-01,41,49,66,27,82,Japan
2011-09-01,46,43,54,28,69,Japan
2011-10-01,39,40,45,30,61,Japan
2011-11-01,38,35,46,30,60,Japan
2011-12-01,41,40,38,28,56,Japan
2012-01-01,38,37,44,30,59,Japan
2012-02-01,31,39,41,29,56,Japan
2012-03-01,34,43,47,27,58,Japan
2012-04-01,35,44,48,27,56,Japan
2012-05-01,38,44,52,25,61,Japan
2012-06-01,38,39,45,23,56,Japan
2012-07-01,36,50,58,30,64,Japan
2012-08-01,47,59,66,24,60,Japan
2012-09-01,51,54,52,24,61,Japan
2012-10-01,40,42,46,28,63,Japan
2012-11-01,49,52,43,30,74,Japan
2012-12-01,49,53,34,28,58,Japan
2013-01-01,37,52,41,29,56,Japan
2013-02-01,31,48,41,26,53,Japan
2013-03-01,34,45,43,24,53,Japan
2013-04-01,37,44,46,24,55,Japan
2013-05-01,39,39,47,24,54,Japan
2013-06-01,37,34,40,23,56,Japan
2013-07-01,44,53,53,21,59,Japan
2013-08-01,39,61,62,19,56,Japan
2013-09-01,38,44,45,20,58,Japan
2013-10-01,44,36,43,21,54,Japan
2013-11-01,55,42,42,22,58,Japan
2013-12-01,48,42,35,22,52,Japan
2014-01-01,33,42,44,23,55,Japan
2014-02-01,30,35,36,21,55,Japan
2014-03-01,34,48,45,20,52,Japan
2014-04-01,36,57,47,21,53,Japan
2014-05-01,39,57,46,20,51,Japan
2014-06-01,37,37,43,20,52,Japan
2014-07-01,40,43,50,19,50,Japan
2014-08-01,43,54,66,19,54,Japan
2014-09-01,52,36,46,19,52,Japan
2014-10-01,42,27,44,19,46,Japan
2014-11-01,58,30,46,19,50,Japan
2014-12-01,51,44,33,18,48,Japan
2015-01-01,36,37,38,21,56,Japan
2015-02-01,33,37,44,19,48,Japan
2015-03-01,34,37,45,18,47,Japan
2015-04-01,36,44,51,19,50,Japan
2015-05-01,41,46,56,18,50,Japan
2015-06-01,40,37,44,19,51,Japan
2015-07-01,41,44,51,18,51,Japan
2015-08-01,42,66,65,16,53,Japan
2015-09-01,50,43,52,18,49,Japan
2015-10-01,47,38,45,17,46,Japan
2015-11-01,57,33,45,16,59,Japan
2015-12-01,49,44,34,17,52,Japan
2016-01-01,38,36,35,20,50,Japan
2016-02-01,37,32,36,18,46,Japan
2016-03-01,38,34,39,18,46,Japan
2016-04-01,36,37,41,19,46,Japan
2016-05-01,37,39,47,19,48,Japan
2016-06-01,37,35,43,18,44,Japan
2016-07-01,41,39,48,16,44,Japan
2016-08-01,36,48,53,17,42,Japan
2016-09-01,43,55,43,17,44,Japan
2016-10-01,40,40,39,17,41,Japan
2016-11-01,47,37,37,18,45,Japan
2016-12-01,44,48,31,16,42,Japan
2017-01-01,36,40,37,20,46,Japan
2017-02-01,32,38,36,18,50,Japan
2017-03-01,32,47,45,17,51,Japan
2017-04-01,34,49,44,18,50,Japan
2017-05-01,40,46,49,17,45,Japan
2017-06-01,37,35,39,16,44,Japan
2017-07-01,36,44,48,16,43,Japan
2017-08-01,39,42,64,15,42,Japan
2017-09-01,42,31,44,16,47,Japan
2017-10-01,37,31,46,16,44,Japan
2017-11-01,46,33,47,16,43,Japan
2017-12-01,47,32,31,16,42,Japan
2018-01-01,35,26,37,17,43,Japan
2018-02-01,31,26,40,16,51,Japan
2018-03-01,33,38,42,15,44,Japan
2018-04-01,37,38,45,17,41,Japan
2018-05-01,37,32,49,18,38,Japan
2018-06-01,36,31,43,17,39,Japan
2018-07-01,39,35,50,16,45,Japan
2018-08-01,41,50,63,16,50,Japan
2018-09-01,41,38,45,16,43,Japan
2018-10-01,41,35,41,16,41,Japan
2018-11-01,43,41,40,15,41,Japan
2018-12-01,45,45,35,15,42,Japan
2019-01-01,43,43,40,17,45,Japan
2019-02-01,39,46,42,17,48,Japan
2019-03-01,45,42,45,16,47,Japan
2019-04-01,43,42,55,16,43,Japan
2019-05-01,42,42,52,16,41,Japan
2019-06-01,40,55,42,15,43,Japan
2019-07-01,39,51,51,15,46,Japan
2019-08-01,36,56,67,14,47,Japan
2019-09-01,38,41,48,15,46,Japan
2019-10-01,35,34,45,16,41,Japan
2019-11-01,45,40,47,15,42,Japan
2019-12-01,45,40,38,16,45,Japan
